순위,역명,일평균
249,삼각지(4),"5,190"
250,을지로4가(5),"4,938"
251,신흥,"4,858"
252,모란(8),"4,808"
253,충정로(5),"4,573"
254,무악재,"4,281"
255,신설동(2),"4,135"
256,청구(5),"4,100"
257,역촌,"3,883"
258,청구(6),"3,806"
259,약수(6),"3,676"
260,영등포구청(5),"3,667"
261,오금(5),"3,654"
262,창신,"3,550"
263,동작,"3,300"
264,신길(5),"3,132"
265,학여울,"3,007"
266,독바위,"2,969"
267,동대문역사문화공원(5),"2,835"
268,용답,"2,806"
269,남태령,"2,703"
270,장암,"2,524"
271,버티고개,"2,487"
272,용두,"2,329"
273,신답,"1,390"
274,지축,"1,214"
275,도림천,"1,083"
